,Product Name,Price,Ratings,Reviews
110,hmd 105 Dual Sim,"₹1,140",4.1,"1,684 Ratings & 147 Reviews"
111,"Samsung Galaxy F16 5G (Vibing Blue, 128 GB)","₹11,999",4.2,"1,875 Ratings & 127 Reviews"
112,Samsung SM-B310EZDDINS,"₹1,150",3.2,"6,276 Ratings & 440 Reviews"
113,"realme 14x 5G (Crystal Black, 128 GB)","₹14,999",4.3,"9,114 Ratings & 470 Reviews"
114,"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Prism Black, 128 GB)","₹17,999",4.5,"14,713 Ratings & 1,068 Reviews"
115,Kechaoda A26_Pink,₹916,4,"1,219 Ratings & 34 Reviews"
116,"Infinix Note 50s 5G+ (Marine Drift, 128 GB)","₹15,999",4.4,"11,541 Ratings & 1,202 Reviews"
117,"realme P3 5G (Space Silver, 128 GB)","₹15,999",4.4,"13,997 Ratings & 1,109 Reviews"
118,"Infinix Note 50x 5G+ (Enchanted Purple, 128 GB)","₹11,499",4.3,"8,414 Ratings & 901 Reviews"
119,itel Keypad Mobile | 2.4 inch Display| Type C Charging,"₹1,069",4.1,265 Ratings & 16 Reviews
120,"CMF by Nothing Phone 2 Pro (Black, 256 GB)","₹20,999",4.4,"10,226 Ratings & 965 Reviews"
121,"Samsung Galaxy F16 5G (Bling Black, 128 GB)","₹13,499",4.2,"1,275 Ratings & 107 Reviews"
122,LAVA A1 Josh BOL Keypad Mobile|1000 mAh Battery|Expandable Storage 32GB,₹995,4,"18,664 Ratings & 832 Reviews"
123,"IQOO Neo 10R 5G (MoonKnight Titanium, 256 GB)","₹27,929",4.5,491 Ratings & 42 Reviews
124,itel it2165s,₹879,4.1,"2,243 Ratings & 114 Reviews"
125,"Motorola g64 5G (Berry Red, 128 GB)","₹13,999",4.3,"58,296 Ratings & 3,673 Reviews"
126,"vivo T4 5G (Emerald Blaze, 256 GB)","₹23,999",4.5,"27,628 Ratings & 1,468 Reviews"
127,"POCO M7 Pro 5G (Olive Twilight, 256 GB)","₹14,999",4.3,"5,901 Ratings & 626 Reviews"
128,"Infinix SMART 9 HD (Metallic Black, 64 GB)","₹6,699",4.2,"2,661 Ratings & 195 Reviews"
129,"Motorola g45 5G (Brilliant Blue, 128 GB)","₹10,999",4.3,"44,960 Ratings & 2,823 Reviews"
130,"Infinix Note 50x 5G+ (Enchanted Purple, 128 GB)","₹12,999",4.3,"2,246 Ratings & 230 Reviews"
131,"Motorola G85 5G (Urban Grey, 128 GB)","₹16,999",4.4,"2,02,277 Ratings & 10,531 Reviews"
132,hmd 105 Dual Sim,"₹1,143",4.1,"1,684 Ratings & 147 Reviews"
133,Kechaoda K115,₹995,4.1,"40,503 Ratings & 2,623 Reviews"
134,"CMF by Nothing Phone 2 Pro (White, 128 GB)","₹18,999",4.4,"10,226 Ratings & 965 Reviews"
